Title,DOI,Dataset Mention
Bayesian mixed effect sparse tensor response regression model with joint estimation of activation and connectivity,arXiv:1904.00148,ds000001
Exploring the impact of analysis software on task fMRI results,10.1002/hbm.24603,ds000001
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000001
Joint Bayesian Estimation of Voxel Activation and Inter-regional Connectivity in fMRI Experiments,10.1016/j.eswa.2020.113819,ds000001
On the Reproducibility and Interpretability of Group-Level Task-fMRI Results,10.31237/osf.io/mj7qa,ds000001
Performance Evaluation of Big Data Processing Strategies for Neuroimaging,10.1109/CCGRID.2019.00059,ds000001
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000002
Short-term classification learning promotes rapid global improvements of information processing in human brain functional connectome,10.3389/fnhum.2019.00462,ds000002
Analysis of task-based functional MRI data preprocessed with fMRIPrep,10.1038/s41596-020-0327-3,ds000003
Beware (surprisingly common) left-right flips in your MRI data: an efficient and robust method to check MRI dataset consistency using AFNI,10.3389/fninf.2020.00018,ds000003
Estimating feedforward and feedback effective connections from fMRI time series: Assessments of statistical methods,10.1162/netn_a_00061,ds000003
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000003
Inferring Effective Connectivity Networks From fMRI Time Series With a Temporal Entropy-Score,10.1109/TNNLS.2021.3072149,ds000003
The visual word form area (VWFA) is part of both language and attention circuitry,10.1038/s41467-019-13634-z,ds000003
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000006
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000007
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,10.1609/aaai.v34i04.6179,ds000007
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000008
Side information dependence as a regularizer for analyzing human brain conditions across cognitive experiments,10.1609/aaai.v34i04.6179,ds000008
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000011
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000017
3D deformable convolutions for MRI classification,10.1109/ICMLA.2019.00278,ds000030
3DCNN interpretation facilitates MRI-based disease classification,n/a,ds000030
A pipeline to characterize local cortical folds by mapping them to human-interpretable shapes,10.1101/2020.11.25.388785,ds000030
Activity flow underlying abnormalities in brain activations and cognition in schizophrenia,10.1101/2020.12.16.423109,ds000030
Common and different gray and white matter alterations in bipolar and borderline personality disorder: A source-based morphometry study,10.1016/j.brainres.2021.147401,ds000030
Detecting microstructural deviations in individuals with deep diffusion MRI tractometry,10.1101/2021.02.23.21252011,ds000030
Disentangling age‐and disease‐related alterations in schizophrenia brain network using structural equation modeling: A graph theoretical study based on minimum …,10.1002/hbm.25403,ds000030
"Distinct and temporally associated neural mechanisms underlying concurrent, postsuccess, and posterror cognitive controls: Evidence from a stop‐signal task",10.1002/hbm.25347,ds000030
Distinct hierarchical alterations of intrinsic neural timescales account for different manifestations of psychosis,10.7554/eLife.56151,ds000030
Effects of spatial smoothing on group-level differences in functional brain networks,10.1162/netn_a_00132,ds000030
Equitable thresholding and clustering,10.1101/295931,ds000030
Evaluation of denoising strategies for task‐based functional connectivity: Equalizing residual motion artifacts between rest and cognitively demanding tasks,10.1002/hbm.25332,ds000030
Fastsurfer-a fast and accurate deep learning based neuroimaging pipeline,10.1016/j.neuroimage.2020.117012,ds000030
"Highly predictive transdiagnostic features shared across schizophrenia, bipolar disorder, and adhd identified using a machine learning based approach",10.1101/453951,ds000030
Identifying and removing widespread signal deflections from fMRI data: Rethinking the global signal regression problem,10.1016/j.neuroimage.2020.116614,ds000030
Investigating inhibition deficit in schizophrenia using task-modulated brain networks,10.1007/s00429-020-02078-7,ds000030
Linking cerebellar functional gradients to transdiagnostic behavioral dimensions of psychopathology,10.1101/2020.06.15.153254,ds000030
"Machine learning models identify multimodal measurements highly predictive of transdiagnostic symptom severity for mood, anhedonia, and anxiety",10.1016/j.bpsc.2019.07.007,ds000030
Multimodal MRI Study Using Convolutional Neural Networks for Schizophrenia Classification,n/a,ds000030
Non-linear manifold learning in fMRI uncovers a low-dimensional space of brain dynamics,10.1101/2020.11.25.398693,ds000030
Out of control: An altered parieto-occipital-cerebellar network for impulsivity in bipolar disorder,10.1016/j.bbr.2021.113228,ds000030
PCA based dimensionality reduction of MRI images for training support vector machine to aid diagnosis of bipolar disorder,n/a,ds000030
Probabilistic TFCE: a generalized combination of cluster size and voxel intensity to increase statistical power,10.1016/j.neuroimage.2018.09.078,ds000030
Reproducible Coactivation Patterns of Functional Brain Networks Reveal the Aberrant Dynamic State Transition in Schizophrenia,10.1101/2021.03.29.437611,ds000030
Shared and distinct white matter abnormalities in schizophrenia and bipolar disorder,10.1016/j.pnpbp.2020.110175,ds000030
Testing the expanded continuum hypothesis of schizophrenia and bipolar disorder. Neural and psychological evidence for shared and distinct mechanisms,10.1016/j.nicl.2019.101854,ds000030
Inter-group Heterogeneity of Regional Homogeneity (REHO),n/a,ds000030
A generalizable method for automated quality control of functional neuroimaging datasets,10.1007/978-3-030-53352-6_6,ds000030
Diffusion-Weighted Imaging,10.1007/978-3-030-29184-6,ds000031
Extraction of the cardiac waveform from simultaneous multislice fMRI data using slice sorted averaging and a deep learning reconstruction filter,10.1016/j.neuroimage.2019.05.049,ds000031
Individualized event structure drives individual differences in whole-brain functional connectivity,10.1101/2021.03.12.435168,ds000031
The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,10.1016/j.neuroimage.2019.116435,ds000031
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000051
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000052
Short-term classification learning promotes rapid global improvements of information processing in human brain functional connectome,10.3389/fnhum.2019.00462,ds000052
Meet me in the middle: brain-behavior mediation analysis for fMRI experiments,10.1101/2020.10.17.343798,ds000053
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000101
